name;rank;year;company;country;worth
Antonio Ermirio de Moraes;31;1996;Votorantim Group;BRA;5,1
Forrest Mars Jr;31;2001;Mars, Incorperated;USA;9
Jacqueline Mars;31;2001;Mars, Incorperated;USA;9
John Mars;31;2001;Mars, Incorperated;USA;9
Kirsten Rausing;31;2001;Tetra Pak;SWE;9
Forrest Mars, Jr.;31;2014;Mars, Incorperated;USA;20
Jacqueline Mars;31;2014;Mars, Incorperated;USA;20
John Mars;31;2014;Mars, Incorperated;USA;20
Eka Tjipta Widjaja;32;1996;Sinar Mas Group;IDN;5,1
Liliane Bettencourt;33;1996;L'Oreal;FRA;5
Merck family;34;1996;Merck;DEU;5
Jorge Paulo Lemann;34;2014;Ambev;BRA;19,7
Silvio Berlusconi;35;1996;Fininvest;ITA;5
Charles Ergen;35;2001;dish networtk;USA;8,8
Ted Turner;35;2001;CNN;USA;8,8
Lee Shau Kee;35;2014;Henderson Land Development;HKG;19,6
Mohamed Salim Bin Mahfouz;36;1996;National Comercial bank of Saudi Arabia;SAU;5
Steve Ballmer;36;2014;Microsoft;USA;19,3
Theo Albrecht, Jr.;36;2014;Aldi Nord;DEU;19,3
Lee Kun-Hee;37;1996;Samsung;KOR;4,9
Yasuo Takei;37;2001;Takefuji;JPN;8,3
John Walton;38;1996;Walmart;USA;4,8
Suliman Olayan;38;2001;General Contracting Company;SAU;8
Leonardo Del Vecchio;38;2014;?Luxottica;ITA;19,2
Jim Walton;39;1996;Walmart;USA;4,8
Rupert Murdoch;39;2001;News Limited;USA;7,8
Len Blavatnik;39;2014;Renova Group;USA;18,7
Helen Walton;40;1996;Walmart;USA;4,7
Hans Rausing;40;2001;Tetra Pak;SWE;7,7
Nobutada Saji;40;2001;Suntory;JPN;7,7
Alisher Usmanov;40;2014;Metalloinvest;RUS;18,6
Mukesh Ambani;40;2014;Reliance;IND;18,6
Alice Walton;41;1996;Walmart;USA;4,7
S Robson Walton;42;1996;Walmart;USA;4,7
Azim Premji;42;2001;Wipro Limited;IND;6,9
Masayoshi Son;42;2014;Softbank;JPN;18,4
Michael Otto;42;2014;Otto Group;DEU;18,4
Phil Knight;42;2014;Nike;USA;18,4
Henkel family;43;1996;Henkel AG;DEU;4,6
Amancio Ortega;43;2001;Zara;ESP;6,6
Leonardo Del Vecchio;43;2001;?Luxottica;ITA;6,6
Masayoshi Son;44;1996;Softbank;JPN;4,6
Friedrich Flick;45;1996;Friedrich Flick Industrial Holding;DEU;4,5
Gerald Cavendish Grosvenor;45;2001;Grosvenor Group;GBR;6,5
Tadashi Yanai;45;2014;Fast Retailing/Uniqlo;JPN;17,9
Liem Sioe Liong;46;1996;Salim Group;IDN;4,5
Kirk Kerkorian;46;2001;MGM Grand;USA;6,4
Gina Rinehart;46;2014;Hancock Prospecting;AUS;17,7
Pierre Landolt;47;1996;AxialPar;CHE;4,5
Charles Schwab;47;2001;Charles Schwab Corporation;USA;6,3
Francois Pinault;47;2001;Pinault-Printemps-Redoute (PPR), now known as Kering;FRA;6,3
Mikhail Fridman;47;2014;Alfa Group;RUS;17,6
Donald Newhouse;48;1996;Advance Publications;USA;4,5
Michael Dell;48;2014;Dell;USA;17,5
Samuel Newhouse;49;1996;Advance Publications;USA;4,5
Pierre Landolt;49;2001;AxialPar;CHE;6,1
Susanne Klatten;49;2014;BMW;DEU;17,4
Dhanin Chearavanont;50;1996;Charoen Pokphand (CP Group);THA;4,2
George Soros;50;2001;Soros Fund Management;USA;6
Nasser Al-Kharafi;50;2001;Kharafi Group;KWT;6
Abigail Johnson;50;2014;Fidelity Investments;USA;17,3
Boehringer family;51;1996;Poehringer Ingelheim;DEU;4,1
Viktor Vekselberg;51;2014;Renova Group;RUS;17,2
David Sainsbury;52;1996;Sainsbury's;GBR;4,1
Lee Shau Kee;52;2001;Henderson Land Development;HKG;5,9
Lakshmi Mittal;52;2014;ArcelorMittal;IND;16,7
Seydoux/Schlumberger families;53;1996;Schlumberger Well Services;FRA;4
Eli Broad;53;2001;Kaufman and Broad, SunAmerica;USA;5,8
Vladimir Lisin;53;2014;NLMK;RUS;16,6
Masatoshi Ito;54;1996;Ito-Yokado;JPN;4
James Goodnight;54;2001;SAS institute;USA;5,7
Cheng Yu-tung;54;2014;Chow Tai Fook Enterprises;HKG;16,2
Fukuzo Iwasaki;55;1996;Iwasaki Sangyo Group;JPN;4
Kyosuke Kinoshita;55;2001;Acom;JPN;5,6
Masayoshi Son;55;2001;Softbank;JPN;5,6
Joseph Safra;55;2014;Banco Safra (now Saftra Group);BRA;16
Mustafa Rahmi Koc;56;1996;Koc Holding;TUR;4
Paul Allen;56;2014;Microsoft;USA;15,9
Barbara Cox Anthony;57;1996;Cox Enterprises;USA;4
Luciano Benetton;57;2001;Benetton Group;ITA;5,5
Robert Pritzker;57;2001;Hyatt;USA;5,5
Thomas Pritzker;57;2001;Hyatt;USA;5,5
Leonid Mikhelson;57;2014;Novatek;RUS;15,6
Anne Cox Chambers;58;1996;Cox Enterprises;USA;4
Anne Cox Chambers;58;2014;Cox Enterprises;USA;15,5
Francois Pinault;58;2014;Pinault-Printemps-Redoute (PPR), now known as Kering;FRA;15,5
Iris Fontbona;58;2014;Antofagasta PLC;CHL;15,5
Ronald Perelman;59;1996;MacAnderws and Forbes Holdings;USA;4
Akira Mori;60;1996;Mori Building;JPN;3,9
Curt Engelhorn;60;2001;BASF/Boehringer Mannheim/DePuy;DEU;5,4
Gordon Moore;60;2001;Intel ;USA;5,4
Hasso Plattner;60;2001;SAP AG;DEU;5,4
Paul-Louis Halley;60;2001;Promodes;FRA;5,4
Otto Beisheim;61;1996;Metro AG;DEU;3,8
Azim Premji;61;2014;Wipro Limited;IND;15,3
Gennady Timchenko;61;2014;Gunvor Group;RUS;15,3
Mohammad Al Amoudi;61;2014;MIDROC;SAU;15,3
Madeleine Schickedanz;62;1996;Quelle Versand;DEU;3,8
Brenninkmeijer family;63;1996;C&A;NLD;3,8
Gordon Moore;64;1996;Intel ;USA;3,7
Friedrich Flick;64;2001;Friedrich Flick Industrial Holding;DEU;5,3
Gustavo Cisneros;64;2001;Cisneros Group;VEN;5,3
Stefan Persson;64;2001; H&M;SWE;5,3
Walter Haefner;64;2001;Automation Center;CHE;5,3
Wang Jianlin;64;2014;Dalian Wanda Group;CHN;15,1
Walter Annenberg;65;1996;Philadelphia Inquirer;USA;3,7
Charles Ergen;65;2014;dish networtk;USA;15
Steven Ballmer;66;1996;Microsoft;USA;3,7
Stefan Quandt;66;2014;BMW;DEU;14,9
Gregorio Perez Companc;67;1996;Petrolera Perez Companc;ARG;3,6
German Larrea Mota Velasco;67;2014;Grupo Mexio;MEX;14,7
Curt Engelhorn;68;1996;BASF/Boehringer Mannheim/DePuy;DEU;3,6
Yoshitaka Fukuda;68;2001;Aiful;JPN;5,2
Harold Hamm;68;2014;Continental Resources;USA;14,6
Shin Kyuk-Ho;69;1996;;KOR;3,6
Alfred Lerner;69;2001;MBNA;USA;5,1
Donald Bren;69;2014;Irvine Company;USA;14,4
Ray Dalio;69;2014;Bridgewater Associates;USA;14,4
James Arthur and John Irving;70;1996;J.D. Irving;CAN;3,5
Alain Wertheimer;70;2001;Chanel;FRA;5
August von Finck;70;2001;Allianz, Merk Finck & Co;DEU;5
Donald Newhouse;70;2001;Advance Publications;USA;5
Michael Otto;70;2001;Metro AG;DEU;5
Samuel Newhouse;70;2001;Advance Publications;USA;5
Philip Niarchos;71;1996;Niarchos Ltd;GRC;3,5
Georg Schaeffler;71;2014;Schaeffler Group;DEU;14,3
Wang Yue-che;72;1996;Formosa Plastics;Taiwan;3,5
Luis Carlos Sarmiento;72;2014;Grupo Aval Acciones y Valores, SA;COL;14,2
Sakip Sabanci;73;1996;Sabanci Holdings;TUR;3,5
Laurene Powell Jobs;73;2014;Apple;USA;14
Ronald Perelman;73;2014;MacAnderws and Forbes Holdings;USA;14
Serge Dassault;73;2014;Dassault Group;FRA;14
Erivan Haub;74;1996;Tenglemann Group;DEU;3,4
Tiong Hiew King;75;1996;Rimbunan Hijau Group;MYS;3,4
Serge Dassault;75;2001;Dassault Group;FRA;4,9
Kirk Kerkorian;76;1996;MGM Grand;USA;3,4
Gunter Herz;76;2001;Maxingvest AG;DEU;4,8
Tadashi Yanai;76;2001;Fast Retailing/Uniqlo;JPN;4,8
John Fredriksen;76;2014;Frontline Ltd.;CYP;13,6
Vagit Alekperov;76;2014;Lukoil;RUS;13,6
Sumner Redstone;77;1996;National Amusements;USA;3,4
Denis Defforey;78;1996;Carrefour;FRA;3,3
Rolf Gerling;78;2001;Gerling Konzern;DEU;4,7
John Paulson;78;2014;Paulson & Co.;USA;13,5
Rupert Murdoch;78;2014;News Limited;USA;13,5
Rolf Gerling;79;1996;Gerling Konzern;DEU;3,3
Dieter von Holtzbrinck;79;2001;Holtzbrinck;DEU;4,6
Edward Johnson;79;2001;Fidelity Investments;USA;4,6
Spiro Latsis;79;2001;EFG International;GRC;4,6
Nina Wang;80;1996;Chinachem Group;HKG;3,3
Ma Huateng;80;2014;Tencent;CHN;13,4
Quek Leng Chan;81;1996;Hong Leong Financial Group;MYS;3,3
Gerald Cavendish Grosvenor;81;2014;Grosvenor Group;GBR;13
Garry Weston;82;1996;George Weston Limited;GBR;3,3
Lorenzo Mendoza;82;2001;Empresas Polar;VEN;4,5
Marvin Davis;82;2001;Davis Petroleum;USA;4,5
Masatoshi Ito;82;2001;Ito-Yokado;JPN;4,5
Michael Bloomberg;82;2001;Bloomberg;USA;4,5
Nicky Oppenheimer;82;2001;De Beers;ZAF;4,5
Pierre Omidyar;82;2001;Ebay;USA;4,5
Reinhard Mohn;82;2001;Bertelsmann;DEU;4,5
Samuel Johnson;82;2001;S. C. Johnson & Son;USA;4,5
Dilip Shanghvi;82;2014;Sun Pharmaceutical Industries;IND;12,8
Jack Taylor;82;2014;Enterprise;USA;12,8
Johanna Quandt;82;2014;BMW;DEU;12,8
Pallonji Mistry;82;2014;?Shapoorji Pallonji Group;IRL;12,8
Henry Ross Perot Sr;83;1996;Electronic Data Systems;USA;3,3
Keizo Saji;84;1996;Suntory;JPN;3,2
Rupert Murdoch;85;1996;News Limited;USA;3,2
Richard DeVos;86;1996;Amway;USA;3,2
Thomas and Raymond Kwok;86;2014;Sun Hung Kai Properties;HKG;12,6
Vladimir Potanin;86;2014;Interros;RUS;12,6
Jay Van Andel;87;1996;Amway;USA;3,2
August von Finck;88;1996;Allianz, Merk Finck & Co;DEU;3,1
James Simons;88;2014;Renaissance Technologies;USA;12,5
Rinat Akhmetov;88;2014;System Capital Management Group;UKR;12,5
Michael and Rainer Schmidt-Ruthenbeck;89;1996;Metro AG;DEU;3,1
Stanley Ho;90;1996;Sociedade de Turismo e Divers?es de Macau;HKG;3,1
James Arthur and John Irving;90;2001;J.D. Irving;CAN;4,4
Rudolf Oetker;90;2001;Oetker-Gruppe;DEU;4,4
Alberto Bailleres Gonzalez;90;2014;Penoles;MEX;12,4
Kyosuke Kinoshita;91;1996;Acom;JPN;3,1
Robin Li;91;2014;Baidu;CHN;12,1
Chatri Sophonpanich;92;1996;Bangkok Bank;THA;3,1
Lee Bass;92;2001;Sid Richardson Gasoline Co;USA;4,3
Maurice Greenberg;92;2001;AIG;USA;4,3
Philip Knight;92;2001;Nike;USA;4,3
Ernesto Bertarelli;92;2014;Serono;CHE;12
Hans Rausing;92;2014;Tetra Pak;SWE;12
Peter Haas Sr;93;1996;Levi Strauss & co;USA;3,1
Lemos family;94;1996;Efploia Shipping;GRC;3
Zong Qinghou;94;2014;Hangzhou Wahaha Group;CHN;11,6
Jassim Al-Kharafi;95;1996;Kharafi Group;KWT;3
Fukuzo Iwasaki;95;2001;Iwasaki Sangyo Group;JPN;4,2
David & Simon Reuben;95;2014;Trans-World Metals;GBR;11,5
Robert Kuok;95;2014;Shangri-La Hotels;MYS;11,5
Suliman Olayan;96;1996;General Contracting Company;SAU;3
Micky Arison;96;2001;Carnival Corporation;USA;4,1
Patrick Wang;96;2001;Johnson Electric;HKG;4,1
Khoo Teck Puat;97;1996;Malayan Banking;SGP;3
Andrey Melnichenko;97;2014;MDM Bank;RUS;11,4
Dhanin Chearavanont;97;2014;Charoen Pokphand (CP Group);THA;11,4
Henry Sy;97;2014;SM Malls;PHL;11,4
John Mars;98;1996;Mars, Incorperated;USA;3
Alfred Heineken;98;2001;Heineken International;NLD;4
Donald Bren;98;2001;Irvine Company;USA;4
Erivan Haub;98;2001;Tenglemann Group;DEU;4
Galen Weston;98;2001;George Weston Limited;CAN;4
Ty Warner;98;2001;Ty Inc.;USA;4
Walter Annenberg;98;2001;Philadelphia Inquirer;USA;4
Jacqueline Mars;99;1996;Mars, Incorperated;USA;3
Jay and Arthur Pritzker;100;1996;Hyatt;USA;3
Ananda Krishnan;100;2014;Usaha Tegas Sdn Bhd;MYS;11,3
German Khan;100;2014;Alfa Group;RUS;11,3
Robert Pritzker;101;1996;Hyatt;USA;3
Forrest Mars Sr;102;1996;Mars, Incorperated;USA;3
Alejandro Santo Domingo Davila;102;2014;Santo Domingo Group;COL;11,1
Lee Kun-Hee;102;2014;Samsung;KOR;11,1
Miuccia Prada;102;2014;Prada;ITA;11,1
Shiv Nadar;102;2014;HCL;IND;11,1
Forrest Mars Jr;103;1996;Mars, Incorperated;USA;3
Rudolf Oetker;104;1996;Oetker-Gruppe;DEU;2,9
Henry Ross Perot Sr;104;2001;Electronic Data Systems;USA;3,8
Jon Huntsman;104;2001;Huntsman chemical;USA;3,8
Leonard Lauder;104;2001;Est?Lauder;USA;3,8
Sid Bass;104;2001;Sid Richardson Gasoline Co;USA;3,8
Tsai Wan-lin;104;2001;Lin Yuan Group;Taiwan;3,8
Koo Cha-kyung;105;1996;LG Group;KOR;2,9
William Hewlett;106;1996;Hewlett-Packard;USA;2,9
Petr Kellner;106;2014;PPF (Prvn? privatizacn? fond);CZE;11
Robert & Philip Ng;106;2014;Sino Group;SGP;11
Steve Cohen;106;2014;SAC Capital Advisors;USA;11
Karl-Heinz Kipp;107;1996;Massa;DEU;2,8
Putera Sampoerna;108;1996;Sampoerna;IDN;2,8
Gianni Agnelli;109;1996;Fiat;ITA;2,8
Carl Icahn;109;2001;Icahn Enterprises;USA;3,7
Mehmet Karamehmet;109;2001;Cukurova Holding;TUR;3,7
Nina Wang;109;2001;Chinachem Group;HKG;3,7
Robert Kuok;109;2001;Shangri-La Hotels;MYS;3,7
Sanjiv Sidhu;109;2001;i2 Technologies;USA;3,7
Shari Arison;109;2001;Carnival Corporation;ISR;3,7
Andrew Beal;109;2014;Beal Bank;USA;10,9
Mikhail Prokhorov;109;2014;Norilsk Nickel;RUS;10,9
Chey Jong-hyon;110;1996;SK Group;KOR;2,8
Jean-Louis Dumas;111;1996;Hermes;FRA;2,7
Alexei Mordashov;111;2014;Severstal;RUS;10,5
Hansjoerg Wyss;111;2014;Synthes USA;CHE;10,5
Dietmar Hopp;112;1996;SAP AG;DEU;2,7
Gunter Herz;113;1996;Maxingvest AG;DEU;2,7
Charlene de Carvalho-Heineken;113;2014;Heineken International;NLD;10,4
Klaus-Michael Kuehne;113;2014;Kuhne + Nagel;DEU;10,4
Philip Anschutz;113;2014;Circle A Drilling;USA;10,4
Stefano Pessina;113;2014;Alliance Boots;ITA;10,4
Lim Goh Tong;114;1996;Genting Highlands;MYS;2,7
Eugene Wu;115;1996;Shin Kong Financial;Taiwan;2,7
John Simplot;115;2001;J.R. Simplot Company;USA;3,6
Edgar Bronfman;116;1996;Seagrams;USA;2,7
Antonio Ermirio de Moraes;116;2001;Votorantim Group;BRA;3,5
Craig McCaw;116;2001;McCaw Cellular;USA;3,5
Kazuo Okada;116;2001;Wynn Resorts;JPN;3,5
Ng Teng Fong;116;2001;Far East Organization;SGP;3,5
Nicolas Hayek;116;2001;Swatch Group;CHE;3,5
Reinhold Wuerth;116;2001;Adolf Wurth Group;DEU;3,5
Sakip Sabanci;116;2001;Sabanci Holdings;TUR;3,5
Stephan Schmidheiny;116;2001;Holcim;CHE;3,5
Charles Bronfman;117;1996;Seagrams;CAN;2,6
Li Hejun;117;2014;Hanergy Solar;CHN;10,3
Sergei Galitsky;117;2014;Magnit;RUS;10,3
Leo Kirch;118;1996;Kirch Group;DEU;2,6
Von Siemens family;119;1996;Siemens;DEU;2,6
Kjeld Kirk Kristiansen;119;2014;Lego;DEN;10,2
Marcel Herrmann Telles;119;2014;Ambev;BRA;10,2
John Latsis;120;1996;EFG International;GRC;2,6
Yaw Teck-seng;121;1996;Samling Strategic Corp;MYS;2,6
Charles Butt;121;2014;H-E-B supermarket;USA;10,1
Alfred Heineken;122;1996;Heineken International;NLD;2,6
Carrie Perrodo;122;2014;Perenco;FRA;10
David Tepper;122;2014;Appaloosa Management;USA;10
George Kaiser;122;2014;Kaiser-Francis Oil Company;USA;10
Hinduja Brothers;122;2014;Hinduja Group;GBR;10
Jack Ma;122;2014;Alibaba group;CHN;10
Patrick Soon-Shiong;122;2014;American Pharmaceutical Partners ;USA;10
Stephen Schwarzman;122;2014;Blackstone Group;USA;10
Jaime Augusto Zobel de Ayala;123;1996;Ayala Corporation;PHL;2,6
George Ty;124;1996;Metropolitan Bank and Trust Company;PHL;2,6
Ann Kroenke;124;2001;Walmart;USA;3,4
Charles Bronfman;124;2001;Seagrams;CAN;3,4
David Geffen;124;2001;Asylum Records/Geffen Records/Dreamworks;USA;3,4
Dhirubhai Ambani;124;2001;Reliance;IND;3,4
Gerard Louis-Dreyfus;124;2001;Louis Dreyfus Group;FRA;3,4
James Sorenson;124;2001;Sorenson Companies;USA;3,4
Samuel Johnson;125;1996;S. C. Johnson & Son;USA;2,6
Henry Hillman;126;1996;Pittsburgh Coke & Chemical;USA;2,6
Julio Bozano;127;1996;Banco Bozano Simonsen;BRA;2,5
Porsche family;128;1996;Porsche;DEU;2,5
Peter Livanos;129;1996;Ceres Hellenic;GRC;2,5
Giorgio Armani;129;2014;Armani;ITA;9,9
Michael Kadoorie;130;1996;CLP Holdings;HKG;2,5
Akira Mori;130;2001;Mori Building;JPN;3,3
Amos Hosetter Jr;130;2001;Continental Cablevision;USA;3,3
Bernard Marcus;130;2001;Home Depot;USA;3,3
Edgar Bronfman;130;2001;Seagrams;USA;3,3
Eitaro Itoyama;130;2001;;JPN;3,3
Martin Ebner;130;2001;BZ Bank;CHE;3,3
Ronald Perelman;130;2001;MacAnderws and Forbes Holdings;USA;3,3
Ryoichi Jinnai;130;2001;Promise Consumer Finance;JPN;3,3
Richard Kinder;130;2014;Kinder Morgan Energy Partners;USA;9,5
Tsai Eng-Meng;130;2014;Want Want China;Taiwan;9,5
Henry Fok;131;1996;Sociedade de Turismo e Divers?es de Macau;HKG;2,5
Goroemon Yoshimoto;132;1996;;JPN;2,5
Edward Johnson, III.;132;2014;Fidelity Investments;USA;9,3
Eric Schmidt;132;2014;google;USA;9,3
Hiroshi Mikitani;132;2014;Rakuten;JPN;9,3
Samuel Newhouse, Jr.;132;2014;Advance Publications;USA;9,3
Rinji Shino;133;1996;Meiko Group;JPN;2,5
Yasuyuki Nambu;134;1996;Pasona Inc;JPN;2,5
Rafik Al-Hariri;135;1996;Saudi Oger;LBN;2,5
Alejo Peralta;136;1996;Groupo IUSA;MEX;2,5
Dietrich Mateschitz;136;2014;Red Bull;AUT;9,2
John van Vlissingen;137;1996;BCD Holdings;NLD;2,5
Joao Roberto Marinho;137;2014;Globo Organizations;BRA;9,1
Jose Roberto Marinho;137;2014;Globo Organizations;BRA;9,1
Roberto Marinho;137;2014;Globo Organizations;BRA;9,1
Roman Abramovich;137;2014;Millhouse LLC;RUS;9,1
Sheikh Saleh Bin Abdul Aziz Al-rajhi;138;1996;Al Rajhi bank;SAU;2,5
Charles Koch;138;2001;Koch industries;USA;3,2
David Koch;138;2001;Koch industries;USA;3,2
Donald Fisher;138;2001;The Gap;USA;3,2
Doris Fisher;138;2001;The Gap;USA;3,2
Karl-Heinz Kipp;138;2001;Massa;DEU;3,2
Philippe Foriel-Destezet;138;2001;Adecco;FRA;3,2
Preston Tisch;138;2001;Loews Corporation;USA;3,2
Ronald Lauder;138;2001;Est?Lauder;USA;3,2
Mohammed Jameel;139;1996;Abdul Latif Jameel Co. Ltd;SAU;2,5
Maersk McKinney Moller;140;1996;Maersk Group;DNK;2,5
Nicky Oppenheimer;141;1996;De Beers;ZAF;2,5
Alain Wertheimer;141;2014;Chanel;FRA;9
Charoen Sirivadhanabhakdi;141;2014;ThaiBev;THA;9
Gerard Wertheimer;141;2014;Chanel;FRA;9
Silvio Berlusconi;141;2014;Fininvest;ITA;9
Vladimir Yevtushenkov;141;2014;Sistema/Sitronics;RUS;9
Ernesto Bertarelli;142;1996;Serono;CHE;2,5
Banyong Lamsam;143;1996;Kasikornbank;THA;2,5
George Soros;144;1996;Soros Fund Management;USA;2,5
Abigail Johnson;145;1996;Fidelity Investments;USA;2,5
Jon Huntsman;146;1996;Huntsman chemical;USA;2,5
Ennio Doris;146;2001;Mediolanum SpA;ITA;3,1
Gianni Agnelli;146;2001;Fiat;ITA;3,1
Lester Crown;146;2001;General Dynamics;USA;3,1
Rafik Al-Hariri;146;2001;Saudi Oger;LBN;3,1
William Wrigley;146;2001;Wm Wrigley Jr. Company;USA;3,1
Carlos Alberto Sicupira;146;2014;Ambev;BRA;8,9
Hisakazu Yamaguchi;147;1996;Daiwan Can;JPN;2,4
Alexei Kuzmichev;147;2014;Alfa Group;RUS;8,8
Dmitry Rybolovlev;147;2014;Uralkali;RUS;8,8
Elaine Marshall;147;2014;Koch industries;USA;8,8
Hasso Plattner;147;2014;SAP AG;DEU;8,8
Thomas Peterffy;147;2014;Interactive Brokers;USA;8,8
Kanichiro Ishibashi;148;1996;Bridgestone Corp;JPN;2,4
Andrew Gotianun;149;1996;Filinvest Development Corporation;PHL;2,4
Anacleto Angelini;150;1996;Angelini Group;CHL;2,3
Dieter Schwarz;151;1996;Schwarz Group;DEU;2,3
A Jerrold Perenchio;151;2001;Univision;USA;3
Emilio Azcarraga Jean;151;2001;Grupo Televisa;MEX;3
George Lucas;151;2001;Lucasfilm;USA;3
Henry Hillman;151;2001;Pittsburgh Coke & Chemical;USA;3
Khoo Teck Puat;151;2001;Malayan Banking;SGP;3
Mohammed Jameel;151;2001;Abdul Latif Jameel Co. Ltd;SAU;3
Ricardo Salinas Pliego;151;2001;Grupo Salinas/Group Elektra;MEX;3
Riley Bechtel;151;2001;Bechtel Corporation;USA;3
Robert Bass;151;2001;Sid Richardson Gasoline Co;USA;3
